From,To,perfect_match_percent,threshold_pass_percent,failed_percent,total_success_rate,total_observations,successful_observations,failed_observations,total_routes,single_route_observations,multi_route_observations,expected_observations,missing_observations,data_coverage_percent,id
10765,941,100,0,0,100,384,384,0,384,384,0,384,0,100,189
339,343,100,0,0,100,384,384,0,384,384,0,384,0,100,190
1075,11424,100,0,0,100,384,384,0,384,384,0,384,0,100,191
10764,7025,100,0,0,100,384,384,0,384,384,0,384,0,100,192
10764,7159,100,0,0,100,384,384,0,384,384,0,384,0,100,193
10764,9735,100,0,0,100,384,384,0,384,384,0,384,0,100,194
10765,11297,100,0,0,100,384,384,0,384,384,0,384,0,100,195
1077,11305,100,0,0,100,384,384,0,384,384,0,384,0,100,196
1077,11424,100,0,0,100,384,384,0,384,384,0,384,0,100,197
1077,4003,100,0,0,100,384,384,0,584,251,133,384,0,100,198
10781,4204,100,0,0,100,384,384,0,384,384,0,384,0,100,199
1079,1083,100,0,0,100,384,384,0,384,384,0,384,0,100,200
1079,12239,100,0,0,100,384,384,0,384,384,0,384,0,100,201
10791,10269,100,0,0,100,384,384,0,384,384,0,384,0,100,202
10791,4175,100,0,0,100,384,384,0,384,384,0,384,0,100,203
10793,11288,100,0,0,100,384,384,0,384,384,0,384,0,100,204
10793,12125,100,0,0,100,384,384,0,384,384,0,384,0,100,205
10793,4205,0,100,0,100,384,384,0,384,384,0,384,0,100,206
10796,11388,100,0,0,100,384,384,0,384,384,0,384,0,100,207
10796,7139,100,0,0,100,384,384,0,384,384,0,384,0,100,208
10799,2063,100,0,0,100,384,384,0,384,384,0,384,0,100,209
1087,1083,100,0,0,100,384,384,0,384,384,0,384,0,100,210
1087,1089,100,0,0,100,384,384,0,384,384,0,384,0,100,211
10799,7220,100,0,0,100,384,384,0,384,384,0,384,0,100,212
10807,1329,100,0,0,100,384,384,0,384,384,0,384,0,100,213
10807,4082,100,0,0,100,384,384,0,384,384,0,384,0,100,214
10808,12097,100,0,0,100,384,384,0,508,295,89,384,0,100,215
10808,3624,100,0,0,100,384,384,0,384,384,0,384,0,100,216
10809,1073,100,0,0,100,384,384,0,384,384,0,384,0,100,217
10809,1075,100,0,0,100,384,384,0,384,384,0,384,0,100,218
10809,4003,100,0,0,100,384,384,0,384,384,0,384,0,100,219
10811,11045,100,0,0,100,384,384,0,384,384,0,384,0,100,220
10811,9276,100,0,0,100,384,384,0,384,384,0,384,0,100,221
10828,10929,100,0,0,100,384,384,0,384,384,0,384,0,100,222
10828,817,100,0,0,100,383,383,0,383,383,0,384,1,99.7396,223
1083,1079,100,0,0,100,384,384,0,384,384,0,384,0,100,224
1083,1087,100,0,0,100,384,384,0,384,384,0,384,0,100,225
10869,7073,100,0,0,100,384,384,0,384,384,0,384,0,100,226
1087,2229,100,0,0,100,384,384,0,384,384,0,384,0,100,227
10888,12100,100,0,0,100,384,384,0,384,384,0,384,0,100,228
1089,1087,100,0,0,100,384,384,0,384,384,0,384,0,100,229
1089,1093,100,0,0,100,384,384,0,384,384,0,384,0,100,230
1089,2169,100,0,0,100,384,384,0,384,384,0,384,0,100,231
10901,10696,100,0,0,100,384,384,0,384,384,0,384,0,100,232
10916,11290,100,0,0,100,384,384,0,384,384,0,384,0,100,233
