kid,Id,code_a,dir_a,azi_a,code_b,dir_b,azi_b,code_start,dir_start,code_end,dir_end,travel_mode,azi_a_raw,azi_b_raw,azi_a_sw,azi_b_sw,azi_a_pl,azi_b_pl,axis_fix,geometry_wkt
247,247-15,5,S,189.68894813840552,1,N,9.687779566422734,1,N,5,S,1-5,189.68894813840552,9.687779566422734,256.3224940610553,76.31609104047864,191.30001456179968,11.300014561799694,0,"LINESTRING (35.1939 31.767, 35.19168 31.75589)"
258,258-51,1,N,13.616280886490259,5,S,193.61898233980256,5,S,1,N,5-1,13.616280886490259,193.61898233980256,70.93624100847177,250.94666780096128,15.832386620404172,195.83238662040415,0,"LINESTRING (35.19407 31.76691, 35.1992 31.785)"
2268,2268-37,7,W,289.3832905604056,3,E,109.381416303473,3,E,7,W,3-7,289.3832905604056,109.381416303473,166.1397540541156,346.14037071079116,286.7287705284529,106.72877052845293,0,"LINESTRING (35.19353 31.76717, 35.18997 31.76824)"
258,258-15,5,S,192.91910542175538,1,N,12.91667777739923,1,N,5,S,1-5,192.91910542175538,12.91667777739923,251.8926958572543,71.88279933835373,195.02898951893945,15.028989518939474,0,"LINESTRING (35.19894 31.78487, 35.19433 31.7677)"
593,593-73,3,E,107.91238083881697,7,W,287.91709000287096,7,W,3,E,7-3,107.91238083881697,287.91709000287096,347.37123489827053,167.36986028048827,105.28294569428893,285.2829456942889,0,"LINESTRING (35.27549 32.72989, 35.2842 32.72751)"
1198,1198-62,2,NE,30.989527393870627,6,SW,210.99289968787747,6,SW,2,NE,6-2,30.989527393870627,210.99289968787747,49.40610658754343,229.4113523604342,35.118593879657034,215.11859387965703,0,"LINESTRING (35.19864 31.7931, 35.20504 31.8022)"
248,248-15,5,S,175.29051397622933,1,N,355.290914340424,1,N,5,S,1-5,175.29051397622933,355.290914340424,276.7037078736064,96.69916571731586,174.49105030173538,354.49105030173536,0,"LINESTRING (35.19846 31.7931, 35.19922 31.78522)"
269,269-73,3,E,86.83290771117605,7,W,266.8461343909639,7,W,3,E,7-3,86.83290771117605,266.8461343909639,2.207763472590569,182.2084296621725,87.31550270371491,267.3155027037149,0,"LINESTRING (35.03835 32.31806, 35.06309 32.31922)"
272,272-37,7,W,264.8605023622782,3,E,84.85567478887816,3,E,7,W,3-7,264.8605023622782,84.85567478887816,183.5964987799876,3.596102678733928,265.6304083515654,85.63040835156538,0,"LINESTRING (35.03833 32.31815, 35.0293 32.31746)"
269,269-37,7,W,266.87458855739055,3,E,86.86135650030002,3,E,7,W,3-7,266.87458855739055,86.86135650030002,182.18852686317175,2.1878664168499142,267.33968526739045,87.3396852673905,0,"LINESTRING (35.06308 32.3193, 35.03833 32.31815)"
268,268-73,3,E,99.49458789931302,7,W,279.50350533404014,7,W,3,E,7-3,99.49458789931302,279.50350533404014,353.3379552219508,173.33659342483696,98.08681670675274,278.08681670675276,0,"LINESTRING (35.06314 32.31922, 35.07982 32.31685)"
268,268-37,7,W,279.51488658407766,3,E,99.50594239992368,3,E,7,W,3-7,279.51488658407766,99.50594239992368,173.32854455614287,353.3299120980463,278.09653716789484,98.09653716789484,0,"LINESTRING (35.07981 32.31692, 35.06308 32.3193)"
846,846-84,4,SE,120.29229212098187,8,NW,300.295795278177,8,NW,4,SE,8-4,120.29229212098187,300.295795278177,337.91065907849014,157.9088191772882,116.28141102130583,296.2814110213058,0,"LINESTRING (35.09423 32.72682, 35.10071 32.72362)"
370,370-48,8,NW,323.0741084412879,4,SE,143.06144758249516,4,SE,8,NW,4-8,323.0741084412879,143.06144758249516,137.2484428769217,317.2635705750592,318.3489001883652,138.3489001883652,0,"LINESTRING (35.09457 32.72708, 35.07116 32.7534)"
2278,2278-15,5,S,163.67958576252437,1,N,343.6821262866332,1,N,5,S,1-5,163.67958576252437,343.6821262866332,292.85534952576364,112.84754731873004,160.89635740090438,340.8963574009044,0,"LINESTRING (35.09448 32.72699, 35.09918 32.71342)"
470,470-15,5,S,199.9438289222417,1,N,19.94354705308089,1,N,5,S,1-5,199.9438289222417,19.94354705308089,242.37955711231672,62.378860462104925,203.25571490078934,23.255714900789343,0,"LINESTRING (35.15201 32.82432, 35.15149 32.82311)"
