data_id,name,segment_id,route_alternative,requested_time,timestamp,day_in_week,day_type,duration,static_duration,distance,speed,url,polyline,is_valid,valid_code,hausdorff_distance,hausdorff_pass,link_id,date,hour_of_day,iso_week,weekday_index,daytype,is_holiday,holiday_name
317315296,s_1-5,1530526,1,11:15:00,2025-10-01 11:15:41+03:00,יום ד,ערב חג,178,181,4661,94.2674,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317315296&a=1&du=178,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,11,40,2.0,weekday,False,
317322608,s_1-5,1530526,1,11:30:00,2025-10-01 11:31:39+03:00,יום ד,ערב חג,178,181,4661,94.2674,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317322608&a=1&du=178,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,11,40,2.0,weekday,False,
317323632,s_1-5,1530526,1,11:45:00,2025-10-01 11:45:40+03:00,יום ד,ערב חג,179,181,4661,93.7408,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317323632&a=1&du=179,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,11,40,2.0,weekday,False,
317324332,s_1-5,1530526,1,12:00:00,2025-10-01 12:01:43+03:00,יום ד,ערב חג,181,181,4661,92.705,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317324332&a=1&du=181,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,12,40,2.0,weekday,False,
317330195,s_1-5,1530526,1,12:15:00,2025-10-01 12:15:39+03:00,יום ד,ערב חג,186,181,4661,90.2129,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317330195&a=1&du=186,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,12,40,2.0,weekday,False,
317331348,s_1-5,1530526,1,12:30:00,2025-10-01 12:31:41+03:00,יום ד,ערב חג,186,181,4661,90.2129,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317331348&a=1&du=186,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,12,40,2.0,weekday,False,
317336648,s_1-5,1530526,1,12:45:00,2025-10-01 12:45:39+03:00,יום ד,ערב חג,182,181,4661,92.1956,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317336648&a=1&du=182,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,12,40,2.0,weekday,False,
317337577,s_1-5,1530526,1,13:00:00,2025-10-01 13:01:43+03:00,יום ד,ערב חג,184,181,4661,91.1935,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317337577&a=1&du=184,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,13,40,2.0,weekday,False,
317343640,s_1-5,1530526,1,13:15:00,2025-10-01 13:15:39+03:00,יום ד,ערב חג,186,181,4661,90.2129,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317343640&a=1&du=186,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,13,40,2.0,weekday,False,
317344596,s_1-5,1530526,1,13:30:00,2025-10-01 13:31:43+03:00,יום ד,ערב חג,191,181,4661,87.8513,https://tdr.mpayer.co.il/external/recording?s=1530526&d=317344596&a=1&du=191,udrbEofisExL{EjHaCfCcAjBeAlCiBlEqDdCuCdBcCpDgGjAyBjFkJz@uA|@oAvC_Fr[wf@nBeD`GuIdH}KpE}G~MaThCoDxDwFlQsVrHoK,True,2,1.61729e-09,True,s_1-5,2025-10-01,13,40,2.0,weekday,False,
