link_id,percent_valid,hours_with_data,hours_valid,hours_dropped,percent_valid_hours,days_covered
s_11306-459,100.0,96,96,0,100.0,4
s_11307-11347,100.0,96,96,0,100.0,4
s_11307-1449,100.0,96,96,0,100.0,4
s_1131-1133,100.0,96,96,0,100.0,4
s_1131-2273,100.0,96,96,0,100.0,4
s_1131-30000,100.0,96,96,0,100.0,4
s_1133-1131,100.0,96,96,0,100.0,4
s_1133-1135,100.0,96,96,0,100.0,4
s_11347-11307,100.0,96,96,0,100.0,4
s_11347-1461,100.0,96,96,0,100.0,4
s_11348-11289,100.0,96,96,0,100.0,4
s_11348-1487,100.0,96,96,0,100.0,4
s_11348-4216,100.0,96,96,0,100.0,4
s_11349-11205,100.0,96,96,0,100.0,4
s_11349-1487,100.0,96,96,0,100.0,4
s_1135-1133,100.0,96,96,0,100.0,4
s_1135-1137,100.0,96,96,0,100.0,4
s_11350-1593,100.0,96,96,0,100.0,4
s_11351-1601,100.0,96,96,0,100.0,4
s_11352-1635,100.0,96,96,0,100.0,4
s_11352-1643,100.0,96,96,0,100.0,4
s_11353-1713,100.0,96,96,0,100.0,4
s_11353-1721,100.0,96,96,0,100.0,4
s_11354-1721,100.0,96,96,0,100.0,4
s_11354-1723,100.0,96,96,0,100.0,4
s_11355-1823,100.0,96,96,0,100.0,4
s_11355-513,100.0,96,96,0,100.0,4
s_11356-10163,100.0,96,96,0,100.0,4
s_11356-10407,100.0,96,96,0,100.0,4
s_11365-10265,100.0,96,96,0,100.0,4
s_11365-3938,100.0,96,96,0,100.0,4
s_1137-1135,100.0,96,96,0,100.0,4
s_1137-1139,100.0,96,96,0,100.0,4
s_11373-9060,100.0,96,96,0,100.0,4
s_11375-10611,100.0,96,96,0,100.0,4
s_11375-7258,100.0,96,96,0,100.0,4
s_11378-1911,100.0,96,96,0,100.0,4
s_11378-7197,100.0,96,96,0,100.0,4
s_11379-12245,100.0,96,96,0,100.0,4
s_11379-2141,100.0,96,96,0,100.0,4
s_11380-10918,100.0,96,96,0,100.0,4
s_11380-9913,100.0,96,96,0,100.0,4
s_11382-11383,100.0,96,96,0,100.0,4
s_11382-4189,100.0,96,96,0,100.0,4
s_11383-11382,100.0,96,96,0,100.0,4
s_11384-10066,100.0,80,80,0,100.0,4
s_11384-7001,100.0,96,96,0,100.0,4
s_11384-7244,100.0,96,96,0,100.0,4
s_11385-4071,100.0,96,96,0,100.0,4
s_11385-5529,100.0,96,96,0,100.0,4
s_11386-4125,100.0,96,96,0,100.0,4
s_11386-9730,100.0,96,96,0,100.0,4
s_11388-10796,100.0,96,96,0,100.0,4
s_11388-7177,100.0,96,96,0,100.0,4
s_1139-1137,100.0,96,96,0,100.0,4
s_1139-1147,100.0,96,96,0,100.0,4
s_1139-2311,100.0,96,96,0,100.0,4
s_11391-4036,100.0,96,96,0,100.0,4
s_11391-7180,100.0,96,96,0,100.0,4
s_11392-10071,100.0,96,96,0,100.0,4
s_11392-7195,100.0,96,96,0,100.0,4
s_11403-1945,100.0,96,96,0,100.0,4
s_11403-4131,100.0,96,96,0,100.0,4
s_11412-10765,100.0,96,96,0,100.0,4
s_11412-11413,100.0,96,96,0,100.0,4
s_11413-11412,100.0,96,96,0,100.0,4
s_11413-11414,100.0,96,96,0,100.0,4
s_11414-11413,100.0,96,96,0,100.0,4
s_11414-4173,100.0,96,96,0,100.0,4
s_11415-4181,100.0,96,96,0,100.0,4
s_11416-1189,100.0,96,96,0,100.0,4
s_11416-2213,100.0,96,96,0,100.0,4
s_11417-10438,100.0,96,96,0,100.0,4
s_11417-2213,100.0,96,96,0,100.0,4
s_11418-373,100.0,96,96,0,100.0,4
s_11419-11421,100.0,96,96,0,100.0,4
s_11421-11419,100.0,96,96,0,100.0,4
s_11422-11773,100.0,96,96,0,100.0,4
s_11423-11773,100.0,96,96,0,100.0,4
s_11424-1075,100.0,96,96,0,100.0,4
s_11424-1077,100.0,96,96,0,100.0,4
s_11426-369,100.0,96,96,0,100.0,4
